,property_url,property_id,listing_id,mls,mls_id,status,text,style,full_street_line,street,unit,city,state,zip_code,beds,full_baths,half_baths,sqft,year_built,days_on_mls,list_price,list_date,sold_price,assessed_value,estimated_value,new_construction,lot_sqft,price_per_sqft,latitude,longitude,neighborhoods,county,fips_code,stories,hoa_fee,parking_garage,nearby_schools,dist_to_cwru_mi,price_per_bed,price_per_sqft_ann,price_per_sqft_per_bed_ann
228,https://www.realtor.com/rentals/details/10429-Clifton-Blvd-Apt-307_Cleveland_OH_44102_M47306-97537,4730697537,2974363532,NEOH,5081604,FOR_RENT,"Take a look at this spacious 1 bedroom apartment in the Wilsher Building on Clifton. Close to Edgewater Park, Lake Erie, Restaurants, Shopping, and the Cleveland State Bus Line. This Chic Retreat is in a high-end, historic, boutique apartment building just 7 minutes to downtown and 2 short blocks to Lake Erie's Edgewater Beach. You will find this to be a highly welcoming space, well equipped to suite all your needs and make you feel at home. This updated unit features beautiful hardwood floors and original woodwork, high ceilings, fresh paint in today's trends, newer windows and blinds, newer appliances (including dishwasher) and several generous closets. Walking distance to restaurants, gym, and public transit. Off-street parking space included. Heat included. On-Site Laundry. No Smoking. No Dogs. Cats Allowed. Unit is shown furnished. Furniture and decor will be removed before occupancy.",APARTMENT,10429 Clifton Blvd Apt 307,10429 Clifton Blvd,Apt 307,Cleveland,OH,44102,1,1,,800,1924,30,1400,2024-10-31,1400000,313710,2828165,False,1307,2,41.485072,-81.757317,Edgewater,Cuyahoga,39035,3,,,"Cleveland Metropolitan School District, Hope Academy Northwest Campus, Lakewood City Academy, Lake Erie International High School School District",7.839873739997783,1400.0,21.0,21.0
229,https://www.realtor.com/rentals/details/3169-Scranton-Rd_Cleveland_OH_44109_M49590-08513,4959008513,2974375831,NEOH,5081995,FOR_RENT,"Location Location Location! 3167 Scranton available for rent! This side by side unit has been nicely remodeled. 3 bedrooms with a full bath on the upper floor. Spacious kitchen, sitting area, dining area, and a half bath on the main level with all appliances and high ceilings. The basement includes washer and dryer, newer hot water tank, and plenty of space for storage. There is a front porch and rear porch as well. This rental is in the Tremont area within walking distance to Metro Hospital and minutes from Steelyard Commons. Its renovations and location make it a prime opportunity. Pets may be allowed for an additional fee. NO SECTION 8. Security deposit plus first month rent due at lease signing. Includes one parking space. Tenant to pay all utilities, minimum 12 month lease with credit and history check.",MULTI_FAMILY,3169 Scranton Rd,3169 Scranton Rd,,Cleveland,OH,44109,3,1,1,1774,1890,30,1600,2024-10-31,37000,31190,210500,False,6957,1,41.468058,-81.696979,Tremont,Cuyahoga,39035,3,0,,Cleveland Metropolitan School District,5.2330396065252724,533.3333333333334,10.822998872604284,3.6076662908680945
230,https://www.realtor.com/rentals/details/4004-Sackett-Ave-2_Cleveland_OH_44109_M98770-55561,9877055561,2974378589,TRBO,1645203,FOR_RENT,"Welcome to Your Dream Home at 4004 Sackett Ave in Vibrant Cleveland! Step into this inviting 2-bedroom, 1-bathroom gem, where modern comforts meet cozy charm. This upstairs unit features everything you need for a hassle-free lifestyle, including a washer and dryer, refrigerator, stove, and microwaveall designed for your convenience. Imagine relaxing on your private balcony, then stepping outside to your spacious backyardperfect for unwinding after a long day. Plus, enjoy the ease of backyard parking and the peace of mind that comes with indoor/outdoor security. Located in the heart of the culturally rich Clark Fulton and Tremont neighborhoods, you'll be just minutes away from delightful dining, vibrant arts, and local parks. With utilities included in your rent, all you need to focus on is making this cozy space your own. Don't let this opportunity pass you byschedule a viewing today and make this charming unit yours for just $1300/month! To apply, visit TurboTenant and search for Property ID 1645203",CONDOS,4004 Sackett Ave Unit 2,4004 Sackett Ave,Unit 2,Cleveland,OH,44109,2,1,,814,1890,30,1300,2024-10-31,,,,False,,2,41.463596,-81.712257,Clark - Fulton,Cuyahoga,39035,,,,"Cleveland Metropolitan School District, Lincoln Park Academy School District, Frederick Douglass Reclamation Academy, Lincoln Preparatory Academy School District",6.077751532805091,650.0,19.164619164619165,9.582309582309582
231,https://www.realtor.com/rentals/details/4004-Sackett-Ave-1_Cleveland_OH_44109_M96780-89989,9678089989,2974378588,TRBO,1645185,FOR_RENT,"Welcome to Your Dream Home at 4004 Sackett Ave in Vibrant Cleveland! Step into this inviting 2-bedroom, 1-bathroom gem, where modern comforts meet cozy charm. This downstairs unit features everything you need for a hassle-free lifestyle, including a washer and dryer, refrigerator, stove, and microwaveall designed for your convenience. Imagine relaxing in your spacious living area, then stepping outside to your private backyardperfect for unwinding after a long day. Plus, enjoy the ease of backyard parking and the peace of mind that comes with indoor/outdoor security. Located in the heart of the culturally rich Clark Fulton and Tremont neighborhoods, you'll be just minutes away from delightful dining, vibrant arts, and local parks. With utilities included in your rent, all you need to focus on is making this cozy space your own. Don't let this opportunity pass you byschedule a viewing today and make this charming unit yours for just $1400/month! To apply, visit TurboTenant and search for Property ID 1645185",CONDOS,4004 Sackett Ave Unit 1,4004 Sackett Ave,Unit 1,Cleveland,OH,44109,2,1,,980,1890,30,1400,2024-10-31,,,,False,,1,41.463596,-81.712257,Clark - Fulton,Cuyahoga,39035,,,,"Cleveland Metropolitan School District, Lincoln Park Academy School District, Frederick Douglass Reclamation Academy, Lincoln Preparatory Academy School District",6.077751532805091,700.0,17.142857142857142,8.571428571428571
232,https://www.realtor.com/rentals/details/10429-Clifton-Blvd-Apt-207_Cleveland_OH_44102_M33529-63904,3352963904,2974363531,NEOH,5081594,FOR_RENT,"Take a look at this spacious 1 bedroom apartment in the Wilsher Building on Clifton. Close to Edgewater Park, Lake Erie, Restaurants, Shopping, and the Cleveland State Bus Line. This Chic Retreat is in a high-end, historic, boutique apartment building just 7 minutes to downtown and 2 short blocks to Lake Erie's Edgewater Beach. You will find this to be a highly welcoming space, well equipped to suite all your needs and make you feel at home. This updated unit features beautiful hardwood floors and original woodwork, high ceilings, fresh paint in today's trends, newer windows and blinds, newer appliances (including dishwasher) and several generous closets. Walking distance to restaurants, and public transit. Off-street parking space included. Heat included. On-Site Laundry. No Smoking. No Dogs. Cats Allowed. Unit is shown furnished. Furniture and decor will be removed before occupancy.",APARTMENT,10429 Clifton Blvd Apt 207,10429 Clifton Blvd,Apt 207,Cleveland,OH,44102,1,1,,800,1924,30,1400,2024-10-31,,,,False,,2,41.485067,-81.757316,Edgewater,Cuyahoga,39035,3,,,"Cleveland Metropolitan School District, Hope Academy Northwest Campus, Lakewood City Academy, Lake Erie International High School School District",7.83988130632641,1400.0,21.0,21.0
233,https://www.realtor.com/rentals/details/2210-Murray-Hill-Rd_Cleveland_OH_44106_M33867-39139,3386739139,2974359632,NEOH,5081553,FOR_RENT,"Unique live/work space in the heart of Little Italy perfect for an artist, musician, student, or small business owner. Free-standing two-story building. First floor features a large half bath with laundry hookups and three expansive flex rooms with tall ceilings all. Plenty of space to spread out and tailor to your needs. Second floor large open plan living space with new carpet, lots of light, full kitchen, and a private full bathroom. Includes two off street parking spaces. Central air. Vibrant, dense neighborhood with cafes, dining, galleries and more. Close to University Hospitals, Cleveland Clinic, CWRU, Cleveland Institute of Art, Cleveland Institute of Music, and many major arts and culture institutions. Easily accessible public transportation. Tenant pays gas and electric. Pets considered with deposit. No smoking. One year lease. Security deposit required.",APARTMENT,2210 Murray Hill Rd Unit B,2210 Murray Hill Rd,Unit B,Cleveland,OH,44106,1,1,1,2000,1912,30,2250,2024-10-31,27000,142170,,False,7449,1,41.503708,-81.601424,University Circle,Cuyahoga,39035,2,,,"Cleveland Metropolitan School District, Citizens Leadership Academy",0.36420604781551663,2250.0,13.5,13.5
238,https://www.realtor.com/rentals/details/4797-E-84th-St_Cleveland_OH_44125_M39374-60893,3937460893,2974316192,NEOH,5081643,FOR_RENT,"4797 E 84th St | DN, Garfield Heights- Spacious 2 bed 1 bath multi-family home! // $ 841 rent / $ 841 deposit // $49 application fee per adult // 1-2 pets OK in this unit. After application pre-approval, a PetScreening is required for any animals to proceed with one of our properties; a PetScreening affidavit is still required if you have no pets. (Some breed restrictions apply per HUD guidelines). // NO SMOKING // 1 time $129 non-refundable set up fee paid at lease signing // $30/month required resident benefit package; can include personal property/liability insurance for an additional $5/month for $35/month total. // After application Pre-Approval 1 applicant per household application is required to fill out a PetScreening application, before being about to proceed with placing a Reservation Fee for one of our properties. You will receive a pre-approval for your application and in order to proceed, the PetScreening is required. Even if you have NO pets - this application must be filled out. One time, non-refundable pet fee of $200-500 per animal applies to all pets & must be paid before or when you pay your first month rent. (No fee for qualified assistance animals). // Our application is processed through secure site: Findigs, and they require ID and income verification. Without this, your application will not be processed. They offer 24/7 chat support on their application directly if you have any questions. // BEDROOMS: 2 // BATHROOMS: 1 // APPLIANCES PROVIDED: N/A // UTILITIES / RESIDENT RESPONSIBILITY: Resident pays gas and electric and is responsible for snow removal. // Serious inquiries only.",MULTI_FAMILY,4797 E 84th St Unit 1 /Dn,4797 E 84th St,Unit 1 /Dn,Garfield Heights,OH,44125,2,1,,850,1924,31,841,2024-10-30,88900,30420,130500,False,,1,41.428922,-81.626523,,Cuyahoga,39035,2,0,1,"George V. Voinovich Reclamation Academy, Harvard Avenue Community School, Constellation Schools:eastside, Hope Academy Northcoast, Garfield Heights City Schools",5.286314268680795,420.5,11.872941176470588,5.936470588235294
239,https://www.realtor.com/rentals/details/1226-W-65th-St_Cleveland_OH_44102_M33588-49357,3358849357,2974276422,AVAL,61217587,FOR_RENT,"Welcome to your new home in the heart of Cleveland's vibrant GORDON SQUARE neighborhood! Enjoy a Fully Furnished Studio crafted to provide both long-term residents and short-term professionals a relaxing, modern space to call home. Designed to suit a variety of lifestyles, this home offers the perfect blend of Beach Town Charm and Urban Convenience, with a direct walk-path to Edgewater Beach on Lake Erie, nestled in the heart of Gordon Square's Vibrant Arts District, and just a 5-minute drive along the Shoreway to Downtown Cleveland and Ohio City all within a safe and peaceful neighborhood. Featuring a Private entrance, All-Inclusive Rent, House Essentials Starter Pack, Dedicated Garage Space, Pet-Friendly Policy, and it's located on an Emergency Snow Street, meaning your street is one of the first to be cleared during winter storms, ensuring reliable access and hassle-free commuting even in the snowiest weather. This studio is ideal for anyone looking to settle in for a year or professionals on a temporary stay, such as travel nurses or business travelers, with lease options as flexible as 3-12 months. Key Features: Private Studio: Thoughtfully designed with a cozy, open layout that feels spacious yet intimate. Exclusive Amenities: Enjoy the convenience of your own garage space, private entrance, 1 bedroom, and 1 bath for ultimate privacy and comfort. House-Essentials Starter Pack: Towels, Blankets, Bedding, and Toiletries to make move-in easy. Fully Equipped Kitchenette: Ready for everyday cooking or quick meals, perfect for any schedule. On-site Washer & Dryer: Never worry about laundry trips, this space is set up to make life easier. All-Inclusive Rent: Wi-Fi, Utilities, and Garage Parking are included in your monthly rent, so you can simply relax and enjoy your space. Pet-Friendly: We welcome pets, making this a home that suits all members of the family. Flexible Lease Terms: We focus on accommodating to your lifestyle and needs by offering Leases for 3-12 months. Please contact the Property Manager for details Perfect Location for Both Work and Play: Just a short stroll to Lake Erie and Edgewater Park, you'll find opportunities to unwind by the lake or take a scenic walk. The lively Gordon Square Arts District is down the street, offering an array of trendy restaurants, cozy cafes, boutique shops, theaters, and art galleries. A quick ride takes you to Downtown Cleveland for further dining, business, and cultural experiences, and with nearby public transit options, commuting is a breeze. Close to Major Healthcare Facilities and Business Hubs, this studio makes an ideal base for those on a work assignment or exploring Cleveland for the first time, with walkable public transit options that simplify commuting. Flexible lease terms allow stays of 3-12 months and upon request we can accommodate longer or shorter lease terms. Embrace a comfortable, all-inclusive lifestyle in this unique studio whether you're here for a few months or the long haul. For more details, contact your On-Site Property Manager, Diego, via call or text! Flexible Lease Durations 3-12 months. Security Deposits will depend on your length of stay. All utilities including Wi-Fi are covered by Owner. Pets are welcomed and Pet deposit will be required. Smoking is allowed in the backyard only. Garage is available for parking or on the driveway. Speak to Property Manager for complete details.",SINGLE_FAMILY,1226 W 65th St,1226 W 65th St,,Cleveland,OH,44102,1,1,,398,,32,1200,2024-10-29,328000,26680,337415,False,,3,41.488796,-81.730623,"Gordon Square Arts District, Detroit - Shoreway",Cuyahoga,39035,,,,Cleveland Metropolitan School District,6.431153172238815,1200.0,36.18090452261306,36.18090452261306
242,https://www.realtor.com/rentals/details/3675-E-133rd-St_Cleveland_OH_44120_M38997-47514,3899747514,2974220277,AVAL,61205918,FOR_RENT,"Tired of Renting? Ready to OWN? Your opportunity is here in this beautiful home in Mt. Pleasant. With our RENT TO OWN Program: All Credit Accepted, No Bank Qualifying to move in! With a sizeable option deposit, rent this home until you are ready to BUY. Tenant to cover all utilities and maintenance items. Lease 1-2+ years, with the option to BUY. Introducing a 3 Bed, 2 Bath in a great location near public transportation, freeway access, just minutes to Downtown Cleveland, Amazon, University Circle, Cleveland Clinic, Garfield Park Reservation, etc. Requirements: Income 3x rent, tenant responsible for all utilities and maintenance/repairs during lease Rooms feature hardwood floors, some have vinyl plank or newer carpet (living room). Other features: -Central Air -full unfinished basement/rec room with newer sump pump (2023) -finished attic space -2-car garage plus driveway for plenty of parking This home is ready for your personal touches to make it your OWN. With a size-able option deposit, rent this home until you are ready to BUY. Contact us now to schedule a viewing and start your journey towards homeownership!",SINGLE_FAMILY,3675 E 133rd St,3675 E 133rd St,,Cleveland,OH,44120,3,2,,1248,,33,1300,2024-10-28,,25550,68000,False,,1,41.458836,-81.589765,Mount Pleasant,Cuyahoga,39035,,,,"Cleveland Metropolitan School District, Chapelside Cleveland Academy School District, George V. Voinovich Reclamation Academy",3.283203328936264,433.3333333333333,12.5,4.166666666666667
245,https://www.realtor.com/rentals/details/676-E-91st-St_Cleveland_OH_44108_M31729-59132,3172959132,2974316475,NEOH,5081148,FOR_RENT,"Nicely remodeled 2-Family home on large double lot. Charming details throughout including built-in dining room cabinets, wood moldings, newer kitchen cabinets and countertops, new toilet and sink, and refinished wood floors. Spacious front porch.Washer/Dryer hook ups in basement. Upstairs unit available. Tenant pays all utilities. Standard background check required for all tenants 18 yrs. and older. Absolutely No dogs or Smoking inside house. Vouchers accepted.",MULTI_FAMILY,676 E 91st St Unit Up,676 E 91st St,Unit Up,Cleveland,OH,44108,2,1,,2153,1924,31,950,2024-10-30,20000,7040,68000,False,4356,0,41.537587,-81.626265,Glenville,Cuyahoga,39035,2,0,,"Cleveland Metropolitan School District, Horizon Science Academy Cleveland",2.4770295239738163,475.0,5.29493729679517,2.647468648397585
246,https://www.realtor.com/rentals/details/9404-Cardwell-Ave_Cleveland_OH_44105_M47942-34780,4794234780,2974153950,NEOH,5080706,FOR_RENT,"9404 Cardwell Ave | Unit 2 UP, Cleveland - Spacious 2 bed 1 bath multi-family home! // $ 836 rent / $ 836 deposit // $49 application fee per adult // 1-2 pets OK in this unit. After application pre-approval, a PetScreening is required for any animals to proceed with one of our properties; a PetScreening affidavit is still required if you have no pets. (Some breed restrictions apply per HUD guidelines). // NO SMOKING // 1 time $129 non-refundable set up fee paid at lease signing // $30/month required resident benefit package; can include personal property/liability insurance for an additional $5/month for $35/month total. // After application Pre-Approval 1 applicant per household application is required to fill out a PetScreening application, before being about to proceed with placing a Reservation Fee for one of our properties. You will receive a pre-approval for your application and in order to proceed, the PetScreening is required. Even if you have NO pets - this application must be filled out. One time, non-refundable pet fee of $200-500 per animal applies to all pets & must be paid before or when you pay your first month rent. (No fee for qualified assistance animals). // Our application is processed through secure site: Findigs, and they require ID and income verification. Without this, your application will not be processed. They offer 24/7 chat support on their application directly if you have any questions. // BEDROOMS: 2 // BATHROOMS: 1 // APPLIANCES PROVIDED: Stove // UTILITIES / RESIDENT RESPONSIBILITY: Resident pays gas and electric and is responsible for snow removal. // Serious inquiries only.",MULTI_FAMILY,9404 Cardwell /Up Ave Unit 2,9404 Cardwell /Up Ave,Unit 2,Cleveland,OH,44105,2,1,,926,1928,36,836,2024-10-25,112500,16810,123000,False,,1,41.434715,-81.618503,"Broadway Slavic Village, South Broadway",Cuyahoga,39035,2,0,,Cleveland Metropolitan School District,4.830703239604499,418.0,10.833693304535638,5.416846652267819
249,https://www.realtor.com/rentals/details/3991-Wendy-Dr_Cleveland_OH_44122_M49076-60935,4907660935,2974156053,NEOH,5080721,FOR_RENT,"3991 Wendy Dr, Cleveland - Spacious 4 bed 1 bath single family home! // $ 1450 rent / $ 1450 deposit // $49 application fee per adult // 1-2 pets OK in this unit. After application pre-approval, a PetScreening is required for any animals to proceed with one of our properties; a PetScreening affidavit is still required if you have no pets. (Some breed restrictions apply per HUD guidelines). // NO SMOKING // 1 time $169 non-refundable set up fee paid at lease signing // $30/month required resident benefit package; can include personal property/liability insurance for an additional $5/month for $35/month total // After application Pre-Approval 1 applicant per household application is required to fill out a PetScreening application, before being about to proceed with placing a Reservation Fee for one of our properties. You will receive a pre-approval for your application and in order to proceed, the PetScreening is required. Even if you have NO pets - this application must be filled out. One time, non-refundable pet fee of $200-500 per animal applies to all pets & must be paid before or when you pay your first month rent. (No fee for qualified assistance animals). // Our application is processed through secure site: Findigs, and they require ID and income verification. Without this, your application will not be processed. They offer 24/7 chat support on their application directly if you have any questions. // BEDROOMS: 4 // BATHROOMS: 1 // APPLIANCES PROVIDED: Fridge and stove // UTILITIES / RESIDENT RESPONSIBILITY: Residents are responsible for all utilities including: water/sewer/trash, gas & electric and are responsible to maintain lawn care, maintenance & snow removal. // Serious inquiries only.",SINGLE_FAMILY,3991 Wendy Dr,3991 Wendy Dr,,Cleveland,OH,44122,4,1,,1674,1953,36,1450,2024-10-25,67000,27340,115086,False,6229,1,41.450873,-81.551689,Lee - Miles,Cuyahoga,39035,2,0,,Cleveland Metropolitan School District,4.717789131190169,362.5,10.394265232974911,2.598566308243728
250,https://www.realtor.com/rentals/details/2222-Detroit-Ave-Apt-611_Cleveland_OH_44113_M48883-80869,4888380869,2974117804,NEOH,5080461,FOR_RENT,"This 2-bedroom, 2-bathroom condo located in the heart of Ohio City offers a luxurious and stylish living experience. As you enter the living area, you'll be greeted by a sleek design that incorporates a wall of windows in the living room, providing you with stunning views of the city skyline. The abundance of natural light streaming through the windows enhances the overall ambiance of the space, making it a bright and inviting environment. The kitchen is a cooks dream with plenty of prep space and luxury of granite counter tops and an open floor concept so you can entertain and prepare food. This 6th floor condo also has a private outdoor balcony for those nights when you just want to relax with fresh air or morning coffee with the sunrise. Both bedrooms are generously sized and feature mirrored closets, adding to the sense of space and elegance. You'll have plenty of room to accommodate large beds and other furniture to create your ideal sleeping sanctuary. The master bedroom comes with the added convenience of a private en-suite bathroom, providing you with a touch of exclusivity and privacy. The master bathroom has a deep soaking, jetted tub! Come home and relax! Living in this 6th-floor condo, you'll have access to fabulous condo-style amenities that enhance your lifestyle and offer additional comfort such as a gym, front door attendant to check in guests, clubhouse when you want to entertain outside your condo. From the contemporary design to the city views, this condo offers an exceptional living experience that combines luxury with practicality. This condo located in Stonebridge Towers offers a secure entry and plenty of free parking. Grab this beauty today! Tenant pays all utilities. A pet is ok with approval and additional fees.",CONDOS,2222 Detroit Ave Apt 611,2222 Detroit Ave,Apt 611,Cleveland,OH,44113,2,2,,1166,2005,36,1399,2024-10-25,189900,63460,200100,False,48,1,41.492838,-81.705932,Ohio City,Cuyahoga,39035,1,,,"Cleveland Metropolitan School District, Near West Intergenerational School",5.121728971381547,699.5,14.39794168096055,7.198970840480275
253,https://www.realtor.com/rentals/details/3708-Stickney-Ave_Cleveland_OH_44109_M43909-78730,4390978730,2974134333,NEOH,5079891,FOR_RENT,"2-bedroom newly renovated rental in Old Brooklyn! (Down Unit) home includes 2 bedrooms, One bathroom, front porch, and large open basement with laundry hook ups. Property is located in a quiet neighborhood of Old Brooklyn with local shopping and dining, minutes from the Cleveland Metroparks Zoo. Since this property is located inside Old Brooklyn there is also free Wi-Fi available for the neighborhood. Call today to schedule your viewing! Tenant Responsibilities & Terms: - Pays all utilities - Must earn 3x monthly rent - Rental insurance - Background check, references, income verification, and credit score minimum of 600 - No evictions - No smoking - $45 application fee - nonrefundable - Laundry : Ask Management",MULTI_FAMILY,3708 Stickney Ave,3708 Stickney Ave,,Cleveland,OH,44109,2,1,,1638,1924,36,1075,2024-10-25,,,,False,5401,1,41.429111,-81.710144,Old Brooklyn,Cuyahoga,39035,1,0,,"Cleveland Metropolitan School District, Constellation Schools: Old Brooklyn Community Middle",7.403899468615712,537.5,7.875457875457876,3.937728937728938
256,https://www.realtor.com/rentals/details/5923-Edgewood-Rd_Cleveland_OH_44124_M48310-54050,4831054050,2974097242,NEOH,5080183,FOR_RENT,"Welcome to this lovely home in the heart of Mayfield Heights. Thid home has been completely remodeled and features brand new kitchen with stainless still appliances, new luxury vinyl floors throughout, new bathroom vanity and fresh paint. Two bedrooms on the first floor and one large bedroom upstairs. Great location: close to downtown Cleveland, hospitals, shopping, and restaurants.",SINGLE_FAMILY,5923 Edgewood Rd,5923 Edgewood Rd,,Cleveland,OH,44124,3,1,,1870,1950,37,1900,2024-10-24,115000,47120,173400,False,6534,1,41.528935,-81.466089,,Cuyahoga,39035,,0,,Mayfield City School District,7.574761424720006,633.3333333333334,12.192513368983958,4.064171122994653
260,https://www.realtor.com/rentals/details/3854-E-71st-St_Cleveland_OH_44105_M96922-64487,9692264487,2974112186,NEOH,5080436,FOR_RENT,"3854 E 71st St, Cleveland - Spacious 3 bed 1 bath multi-family home!( 4-plex ) // $ 925 rent / $ 925 deposit // $49 application fee per adult // 1-2 pets OK in this unit. After application pre-approval, a PetScreening is required for any animals to proceed with one of our properties; a PetScreening affidavit is still required if you have no pets. (Some breed restrictions apply per HUD guidelines). // NO SMOKING // 1 time $129 non-refundable set up fee paid at lease signing // $30/month required resident benefit package; can include personal property/liability insurance for an additional $5/month for $35/month total. // After application Pre-Approval 1 applicant per household application is required to fill out a PetScreening application, before being about to proceed with placing a Reservation Fee for one of our properties. You will receive a pre-approval for your application and in order to proceed, the PetScreening is required. Even if you have NO pets - this application must be filled out. One time, non-refundable pet fee of $200-500 per animal applies to all pets & must be paid before or when you pay your first month rent. (No fee for qualified assistance animals). // Our application is processed through secure site: Findigs, and they require ID and income verification. Without this, your application will not be processed. They offer 24/7 chat support on their application directly if you have any questions. // BEDROOMS: 3 // BATHROOMS: 1 // APPLIANCES PROVIDED: dishwasher // UTILITIES / RESIDENT RESPONSIBILITY: Resident pays gas and electric and is responsible for snow removal. // Serious inquiries only.",TOWNHOMES,3854 E 71st St,3854 E 71st St,,Cleveland,OH,44105,3,1,,800,1910,37,925,2024-10-24,,,,False,,1,41.453754,-81.639206,"Broadway Slavic Village, South Broadway",Cuyahoga,39035,2,,,"Cleveland Metropolitan School District, Regent High School School District",3.8371940941075433,308.3333333333333,13.875,4.625
265,https://www.realtor.com/rentals/details/19003-Cherokee-Ave_Cleveland_OH_44119_M41450-62062,4145062062,2974062312,NEOH,5080001,FOR_RENT,"19003 Cherokee Ave, Cleveland - Spacious 3 bed 1 bath single family home! // $ 1250 rent / $ 1250 deposit // $49 application fee per adult // 1-2 pets OK in this unit. After application pre-approval, a PetScreening is required for any animals to proceed with one of our properties; a PetScreening affidavit is still required if you have no pets. (Some breed restrictions apply per HUD guidelines). // NO SMOKING // 1 time $149 non-refundable set up fee paid at lease signing // $30/month required resident benefit package; can include personal property/liability insurance for an additional $5/month for $35/month total // After application Pre-Approval 1 applicant per household application is required to fill out a PetScreening application, before being about to proceed with placing a Reservation Fee for one of our properties. You will receive a pre-approval for your application and in order to proceed, the PetScreening is required. Even if you have NO pets - this application must be filled out. One time, non-refundable pet fee of $200-500 per animal applies to all pets & must be paid before or when you pay your first month rent. (No fee for qualified assistance animals). // Our application is processed through secure site: Findigs, and they require ID and income verification. Without this, your application will not be processed. They offer 24/7 chat support on their application directly if you have any questions. // BEDROOMS: 3 // BATHROOMS: 1 // APPLIANCES PROVIDED: N/A // UTILITIES / RESIDENT RESPONSIBILITY: Residents are responsible for all utilities including: water/sewer/trash, gas & electric and are responsible to maintain lawn care, maintenance & snow removal. // Serious inquiries only.",SINGLE_FAMILY,19003 Cherokee Ave,19003 Cherokee Ave,,Cleveland,OH,44119,3,1,,1138,1926,38,1250,2024-10-23,101000,22160,105037,False,5009,1,41.586062,-81.54634,North Collinwood,Cuyahoga,39035,2,0,1,"Cleveland Metropolitan School District, New Day Academy Boarding & Day School, Lakeshore Intergenerational School",6.49549297104785,416.6666666666667,13.181019332161688,4.393673110720562
269,https://www.realtor.com/rentals/details/1459-W-107th-St_Cleveland_OH_44102_M45152-73306,4515273306,2974034157,NEOH,5074034,FOR_RENT,"Incredible rental property in the sought after Edgewater area! Full remodel in 2024 including LVT flooring, fresh paint, granite counters in the kitchen with new appliances, bedrooms with ceiling fans and remodeled bathroom. All brick side by side duplex situated on a dead end street. Each side has spacious rooms including the living room, dining room & kitchen with a door to the deck & yard. There are three bedrooms and full bath on the second floor and each side has their own separate basement with laundry hook ups. Other capital improvements include a new roof 2023 & several new windows 2024.",APARTMENT,1459 W 107th St Unit 1,1459 W 107th St,Unit 1,Cleveland,OH,44102,3,1,,1292,1912,38,1599,2024-10-23,90000,31510,288400,False,4400,1,41.480023,-81.761943,Edgewater,Cuyahoga,39035,,,,"Cleveland Metropolitan School District, Hope Academy Northwest Campus, Lakewood City Academy, Lake Erie International High School School District",8.141347910647609,533.0,14.85139318885449,4.95046439628483
272,https://www.realtor.com/rentals/details/2037-W-11th-St-Unit-Downfront_Cleveland_OH_44113_M91420-71745,9142071745,2973933113,ZUMU,59271867,FOR_RENT,"Property Id: 1615813 Located in in the heart of Tremont just 500 feet from the new Metroparks' towpath! First floor. Two bedrooms, one bathroom. Beautiful stainless countertops, and newer appliances. First floor. Two bedrooms, one bathroom. Beautiful stainless countertops, and newer appliances. Private front porch with views of downtown Cleveland. Approximately 700 sq. feet. Coin laundry on site. Basement storage is available. Walk to all the restaurants, bars, and coffee shops in Tremont and Ohio City! -$1200/month. Month-to-month lease. Venmo only. One month security deposit. -On-street parking. -No smoking. -No pets. A background/credit check is required ($45), proof of employment and income verification of 3 times rent. -No Evictions -No violent criminal convictions -No vouchers accepted. Available November 16",CONDOS,2037 W 11th St Unit Downfront,2037 W 11th St,Unit Downfront,Cleveland,OH,44113,2,1,,750,,39,1200,2024-10-22,,,,False,,2,41.484318,-81.689041,Tremont,Cuyahoga,39035,,,,"Cleveland Metropolitan School District, Northeast Ohio College Preparatory School",4.405573106962575,600.0,19.2,9.6
